File Name,Pitch Data
79.mid,"67,69,72,71,72,72,72,72,69,74,74,74,72,74,72,72,71,67,69,67,69,72,72,71,69,72,67,69,67,65,64,65,67,69,67,67,69,67,67,67,69,67,69,72,69,65,65,65,64,65,65,67,69,67,69,67,64,64,62,67,69,67,72,72,72,71,72,74,69,67,72,72,67,69,72,72,74,72,72,71,72,72,71,67,67,67,71,72,69,67,72,67,69,72,72,74,72,72,71,72,71,69,72,69,67,69,67,65,67,69,67,67,69,72,72,71,69,69,72,69,67,69,67,67,69,72,74,72,67,69,72,69,72,72,71,72,74,72,72,71,69,69,69,67,69,72,69,65,65,64,65,65,67,69,67,69,67,64"
80.mid,"67,67,69,65,67,69,67,67,69,71,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,67,72,71,72,74,72,69,72,69,72,72,72,71,72,72,72,71,71,72,74,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,72,67,69,72,72,72,71,72,74,72,71,72,74,72,71,72,71,69,67,69,67,72,71,72,74,74,72,74,76,76,74,72,74,76,74,76,74,72,71,72,72,71,71,72,74,72,72,72,72,71,69,72,72,72,69,71,72,69,72,67,69,67,67,65,67,69,72,72,72,74,72,72,72,74,72,67,69,72,72,72,71,72,69,67,67,67,69,72,69,72,72,71,69,69,71,72,71,69,72,69,67,67,69,72,69,72,71,69,67"
81.mid,"62,65,64,65,62,62,62,60,62,60,62,65,67,65,65,64,65,65,64,60,62,65,65,64,65,65,60,62,62,65,67,65,65,64,62,64,65,64,62,64,65,62,62,65,67,69,67,67,65,67,65,65,65,64,62,64,65,67,65,65,64,62,65,62,62,60,65,62,64,65,64,62,62,62,64,65,64,62,64,65,62,60,62,65,67,69,67,67,65,67,65,64,65,65,65,67,69,67,67,65,65,64,62,62,62,65,62,62,62,64,65,64,62,60,62,65,64,65,67,65,65,64,62,65,62,62,60,60,62,65,69,69,69,65,69,69,65,64,65,64,62,60,62,60,62,65,65,64,62,62,65,69,65,65,64,60,64,65,64,60,64,65,62"
82.mid,"67,67,69,65,67,69,67,67,69,71,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,65,67,69,67,69,67,67,67,69,67,69,72,72,71,69,72,69,67,67,69,71,72,71,69,71,72,69,69,72,74,76,74,76,72,69,69,69,69,67,69,67,69,72,72,71,69,71,72,71,72,71,67,72,69,69,67,65,67,69,67,69,67,67,69,67,67,67,69,67,67,69,67,65,64,65,67,65,67,65,67,64,65,65,62,65,65,64,62,64,65,67,65,64,62,62,65,65,60,62,65,64,65,67,67,65,64,65,64,62,60,62,60,67,69,65,67,67,69,72,71,72,69,67"
83.mid,"72,71,72,74,72,72,72,71,69,69,67,69,72,72,72,71,72,74,72"
84.mid,"60,60,65,65,67,65,67,65,67,65,65,69,62,60,59,62,65,65,65,67,69,67,69,69,67,67,65,67,65,65,60,65,67,65,67,69,67,69,65,69,67,65,65,65,65,67,65,64,62,62,65,69,71,71,67,67,71,67,69,71,69,67,65,67,65,67,65,65,67,65,65,67,67,65,65,65,69,67,69,67,65,69,69,67,69,67,65,69,67,65,67,65,67,65,65,67,62,65,64,65,65,67,65,65,65,67,65,65,64,65,69,62,64,65,64,62,60,62,62,60,65,60,62,65,67,65,65,67,65,64,67,67,69,71,69,67,69,67,71,67,71,71,69,67,67,69,71,69,67,69,71,69,67,65,65,67,71,67,71,69,67,65"
85.mid,"65,65,65,64"
86.mid,"67,67,67,69,72,69,72,69,69,67,69,67,67,65,65,64,65,65,69,71,69,67,69,67,67,65,67,69,69,67,69,71,72,71,69,67,67,69,71,69,67,65,65,67,69,67,65,67,67,65,65,65,65,67,69,67,69,67,69,67,67,69,67,65,67,65,67,69,67,69,72,71,69,65,65,69,72,72,72,71,67,72,71,72,76,72,69,71,72,71,69,69,72,72,74,72,72,67,69,67,69,72,72,74,72,72,71,72,72,71,71,72,74,74,74,72,72,71,69,72,69,72,67,69,67,65,67,69,67,69,69,67,69,67,67,72,67,69,67,67,65,67,69,72,74,72,72,71,69,69,71,72,71,69,72,69,67,67,69,72,69,72"
87.mid,"67,69,67,69,67,67,67,69,72,72,74,72,72,71,72,74,76,74,76,76,74,74,72,74,72,74,76,72,72,71,67,69,67,65,69,72,74,72,71,71,72,74,72,74,74,72,72,74,72,72,71,69,72,72,71,72,69,67,69,67,67,74,76,77,76,74,76,74,74,79,77,76,77,74,72,74,76,74,74,76,74,74,72,72,71,71,72,74,74,74,76,74,72,69,72,71,72,67,69,67,67,69,69,65,69,67,67,69,67,67"
88.mid,"74,76,77,76,74,72,74,72,72,71,72,72,72"
89.mid,"62,69,72,69,69,69,69,69,72,69,69,67,69,72,74,72,69,72,71,67,69,69,71,72,71,72,71,69,67,69,72,74,76,74,74,74,72,74,76,72,74,72,69,67,69,71,72,69,71,72,71,69,67,69,69,67,69,67,67,65,67,69,67,69,69,67,67,67,69,72,69,67,69,69,67,65,67,69,67,69,67,65,67,69,67,65,65,64,62,65,62,67,65,67,62,65,65,65,64,62,64,65,62"
90.mid,"67,69,72,72,72,72,72,72,71,69,72,72,67,67,69,67,69,72,72,74,72,72,71,72,71,72,69,72,69,69,67,69,69,72,69,72,69,65,67,69,72,69,72,69,67,67,65,65,64,62,67,69,72,72,71,72,74,72,69,69,67,69,72,71,72,71,72,72,71,69,72,74,74,76,74,72,72,71,72,71,69,67,69,67,69,72,72,65,69,65,67,67,69,71,72,71,69,72,67,69,72,69,67,64,67,64,65,65,64"
91.mid,"69,69,67,69,67,67,65,65,67,69,67,69,72,69,71,72,69,67,65,64,64,65,67,65,67,67,65,65,69,72,69,69,67,67,69,69,67,65,64,64,65,67,65,67,67,65,65,67,67,64,65,62,62,65,64,62,69,71,72,71,69,67,69,72,76,72,74,77,77,77,76,74,74,71,74,76,74,72,72,71,69,72,69,69,69,69,72,71,72,74,72,71,69,74,72,72,69,72,72,72,71,69,71,72,69,65,67,69,69,67,65,67,69,69,67,65,67,69,67,69,69,67,69,67,65,67,69,67,67,65,64,65,67,65,67,65,67,64,65,65,62,67,65,65,62,65,65,65,64,62,64,65,62,65,67,69,67,69,67,65,67,65,65,69,67,65,67,65,64,62,64,65,64,65,64,62"
92.mid,"64,64,62,64,67,69,67,69,69,72,69,69,67,67,69,69,72,71,72,74,72,69,67,69,67,65,64,64,65,67,65,67,67,65,65,67,67,64,65,62,62,65,62,62,65,65,62,64,65,65,62,65,67,69,67,69,67,67,72,71,71,69,71,71,69,65,67,69,69,67,69,67,65,65,67,71,69,67,65,69,69,67,69,65,65,67,71,69,67,67,67,71,67,71,71,69,67,67,65,67,69,65,64,62,65,67,69,65,65,64,62,64,65,64,65,64,62"
93.mid,"69,69,67,69,67,67,65,67,69,67,69,72,69,69,71,72,69,69,72,72,72,74,72,72,71,72,69,67,69,71,69,71,72,69,65,67,69,67,69,65,67,69,69,67,64,65,67,65,64,65,64,62,65,62,62,65,64,65,67,69,67,65,64,62,64,65,64,62,64,65,62,69,67,69,72,74,76,74,74,72,74,77,77,77,76,74,74,74,72,74,76,77,74,77,74,74,74,72,74,77,77,77,72,67,72,69,72,71,72,69,67,69,65,67,67,69,65,67,69,67,65,67,69,62,64,65,64,65,64,62"
94.mid,"69,72,71,72,74,72,72,72,74,74,72,72,74,77,72,74,72,72,71,72,74,76,77,74,77,72,74,77,77,77,79,79,76,77,77,74,74,76,77,76,77,76,74,74,77,74,77,74,77,74,77,74,72,74,72,74,77,76,74,74,77,76,74,72,72,74,77,74,77,74,74,77,74,72,74,74,72,74,77,76,74,74,72,74,72,69,69,69,72,74,77,74,77,72,69,72,77,74,74,77,74,74"
95.mid,"64,69,64,67,67,67,64,67,67,67,64,62,64,65,64,60,67,69,72,72,72,71,67,69,67,69,67,65,67,67,65,69,69,72,69,72,72,71,67,69,67,64,67,64,67,65,64,65,64,65,64,65,62,62,60,60,60,60,62,65,65,67,69,69,67,69,67,64"
96.mid,"62,60,65,67,69,67,69,67,65,65,65,67,65,62,60,65,67,69,67,65,65,65,67,69,67,71,69,65,65,67,71,67,71,67,62,65,69,69,71,65,64,62,65,62,62,60,60,62,65,67,65,65,64,67,67,71,67,65,65,69,69,65,67,69,67,65"
